LTPProtein,FullIdentityOfLipid,rows_merged,kept_row,dropped_rows,candidates_after,screens
GLTPD1,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,2255,2383,16,in cellulo
GLTPD1,Lysophosphatidylcholine (38:5); Phosphatidylcholine (O-38:5),2,2272,2489,1,in cellulo
GLTPD1,Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4),2,2282,2397,1,in cellulo
GLTPD1,Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1),2,2309,2416,1,in vitro
GLTPD1,Hexosyl ceramide (t40:2);Hexosyl ceramide (d40:2-OH),2,2325,2448,5,in vitro
GLTPD1,Hexosyl ceramide (t40:1);Hexosyl ceramide (d40:1-OH),2,2327,2447,7,in vitro
GLTPD1,Phosphatidylglycerol (32:1),3,2332,2468;2491,15,in vitro
GLTPD1,Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1),2,2336,2374,2,in vitro
GLTPD1,Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3),2,2367,2425,2,in vitro
GLTPD1,Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2),2,2370,2422,1,in vitro
GLTPD1,Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5),2,2390,2488,4,in vitro
GLTPD1,Hexosyl ceramide (d42:1),2,2439,2440,8,in cellulo
GLTPD1,Hexosyl ceramide (d42:2),2,2441,2442,4,in cellulo
GLTPD1,Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH),2,2450,2451,8,in cellulo
GLTPD1,Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH),2,2452,2453,4,in cellulo
GM2A,Phosphatidylcholine (32:2),2,2497,2785,13,in cellulo
GM2A,Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2),2,2522,2670,16,in cellulo
GM2A,Sphingomyelin (d40:2);Sphingomyelin (DH40:2),2,2528,2755,3,in cellulo
GM2A,Sphingomyelin (d42:3);Sphingomyelin (DH42:3),2,2529,2607,1,in cellulo
GM2A,Sphingomyelin (d38:1);Sphingomyelin (DH38:1),2,2530,2611,2,in cellulo
GM2A,Sphingomyelin (d41:2);Sphingomyelin (DH41:2),2,2531,2610,2,in cellulo
